#MatSize S FlopPerS Instructions L1CacheMisses LLCacheMisses L1CacheMisses/Instruction LLCacheMisses/Instruction
100 5.640000000000e-04 3.5815602837e+09 3004655 6288 41 2.09275e-03 1.36455e-05
126 9.690000000000e-04 4.1615108359e+09 5962623 7489 453 1.25599e-03 7.59733e-05
158 1.930000000000e-03 4.1132393782e+09 11797961 15559 206 1.31879e-03 1.74606e-05
199 4.051000000000e-03 3.9102443841e+09 23868417 28589 655 1.19778e-03 2.74421e-05
250 7.164000000000e-03 4.3795365717e+09 46420897 52391 423 1.12861e-03 9.11228e-06
315 1.431900000000e-02 4.3795097423e+09 93213395 104596 780 1.12211e-03 8.36790e-06
396 2.774000000000e-02 4.4885329488e+09 183748042 206194 892 1.12216e-03 4.85447e-06
498 5.474800000000e-02 4.5208590633e+09 365044092 404893 1090 1.10916e-03 2.98594e-06
627 1.095860000000e-01 4.5057765043e+09 730206028 836952 1984 1.14619e-03 2.71704e-06
790 2.177600000000e-01 4.5340108376e+09 1456065065 1734983 2142 1.19156e-03 1.47109e-06
995 4.352500000000e-01 4.5310276852e+09 2913417795 3877887 3060 1.33104e-03 1.05031e-06
