#MatSize S FlopPerS Instructions L1CacheMisses LLCacheMisses L1CacheMisses/Instruction LLCacheMisses/Instruction
100 1.173000000000e-03 1.7220801364e+09 6081274 132154 0 2.17313e-02 0.00000e+00
126 2.313000000000e-03 1.7434085603e+09 12130799 263630 0 2.17323e-02 0.00000e+00
158 4.586000000000e-03 1.7310405582e+09 23867442 514168 0 2.15427e-02 0.00000e+00
199 9.152000000000e-03 1.7308129371e+09 47602675 1030057 0 2.16386e-02 0.00000e+00
250 1.844300000000e-02 1.7011874424e+09 94252791 2031513 0 2.15539e-02 0.00000e+00
315 3.685200000000e-02 1.7016769782e+09 188332510 3996944 0 2.12228e-02 0.00000e+00
396 7.540900000000e-02 1.6511544245e+09 373853652 7946779 0 2.12564e-02 0.00000e+00
498 1.486410000000e-01 1.6651394434e+09 743025386 15760326 0 2.12110e-02 0.00000e+00
627 2.948010000000e-01 1.6749265572e+09 1482103167 31450296 0 2.12200e-02 0.00000e+00
790 5.936580000000e-01 1.6631228755e+09 2963235584 62491613 117 2.10890e-02 3.94839e-08
995 1.181154000000e+00 1.6696635663e+09 5918380865 124403519 10191 2.10199e-02 1.72192e-06
