#MatSize S FlopPerS Instructions L1CacheMisses LLCacheMisses L1CacheMisses/Instruction LLCacheMisses/Instruction
100 1.165000000000e-03 1.7339055794e+09 6071380 123439 0 2.03313e-02 0.00000e+00
126 2.285000000000e-03 1.7647719912e+09 12115055 250665 0 2.06904e-02 0.00000e+00
158 4.586000000000e-03 1.7310405582e+09 23842641 494539 0 2.07418e-02 0.00000e+00
199 9.151000000000e-03 1.7310020763e+09 47563278 989464 0 2.08031e-02 0.00000e+00
250 1.841300000000e-02 1.7039591593e+09 94190547 1960479 0 2.08140e-02 0.00000e+00
315 3.676100000000e-02 1.7058893937e+09 188233605 3923382 0 2.08432e-02 0.00000e+00
396 7.467600000000e-02 1.6673617226e+09 373697237 7795627 0 2.08608e-02 0.00000e+00
498 1.473330000000e-01 1.6799222985e+09 742777885 15506415 0 2.08762e-02 0.00000e+00
627 2.934030000000e-01 1.6829072095e+09 1481710670 30949485 0 2.08877e-02 0.00000e+00
790 5.914320000000e-01 1.6693824480e+09 2962612260 61943418 13 2.09084e-02 4.38802e-09
995 1.178156000000e+00 1.6739122833e+09 5917391828 123489721 15769 2.08689e-02 2.66486e-06
