#MatSize S FlopPerS Instructions L1CacheMisses LLCacheMisses L1CacheMisses/Instruction LLCacheMisses/Instruction
100 1.271000000000e-03 2.3760818253e+09 8129895 134452 0 1.65380e-02 0.00000e+00
126 2.494000000000e-03 2.4189574980e+09 16208873 272530 0 1.68136e-02 0.00000e+00
158 4.973000000000e-03 2.3894759702e+09 31875772 535609 0 1.68030e-02 0.00000e+00
199 1.073100000000e-02 2.2105115087e+09 63552252 1068981 0 1.68205e-02 0.00000e+00
250 2.253900000000e-02 2.0852744132e+09 125795692 2091718 0 1.66279e-02 0.00000e+00
315 5.110300000000e-02 1.8387584878e+09 251306876 16963978 0 6.75030e-02 0.00000e+00
396 9.332700000000e-02 1.9995396830e+09 498771892 10697053 0 2.14468e-02 0.00000e+00
498 2.223710000000e-01 1.6684459035e+09 991178098 107459361 1 1.08416e-01 1.00890e-09
627 4.329440000000e-01 1.7098329276e+09 1976888154 306979765 1 1.55284e-01 5.05846e-10
790 8.097220000000e-01 1.8282388276e+09 3952158988 554869307 28 1.40397e-01 7.08474e-09
995 0.000000000000e+00 0.0000000000e+00 -1 -1 -1 1.00000e+00 1.00000e+00
